case_id,group,N,Da,Bi_T,source_scaling,chi_closure,transport_closure,oscillatory,theta_period,theta_amplitude,theta_complete_cycles,J_amplitude,max_collapsed_skin_thickness,mean_heat_source_localization,reactant_balance_residual,heat_balance_residual,clipping_total,run_dir
baseline_default,baseline,51,4.0,0.1,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.0002221214320323739,0,0.0008409291670070651,1.0000000000000002,10.808396056579406,0.003495153187778041,5.9070360542648236e-05,2144,results/evidence_convergence_control/runs/baseline_default
search_N31_Da0p5_BiT0p1,local_search,31,0.5,0.1,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,1.3778395729044428,0,0.016676358304553496,0.9999999999999991,18.970855210453326,0.0006000147784674554,1.2277030746047755e-05,15911,results/evidence_convergence_control/runs/search_N31_Da0p5_BiT0p1
search_N31_Da0p5_BiT0p2,local_search,31,0.5,0.2,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.0029272059657392546,0,0.0024297384497631302,0.9999999999999991,7.055685172647759,0.000783971895522226,5.780899226135699e-06,0,results/evidence_convergence_control/runs/search_N31_Da0p5_BiT0p2
search_N31_Da0p5_BiT0p5,local_search,31,0.5,0.5,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,4.106923662261508e-06,0,1.3767424509314452e-05,0.0,2.3071201434140267,0.0010211182575956494,1.836040998914571e-05,0,results/evidence_convergence_control/runs/search_N31_Da0p5_BiT0p5
search_N31_Da1_BiT0p1,local_search,31,1.0,0.1,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.6352583824908278,0,0.0033251228666939525,0.9999999999999991,22.623832641010544,0.0009550196976459158,3.179082813081711e-05,18534,results/evidence_convergence_control/runs/search_N31_Da1_BiT0p1
search_N31_Da1_BiT0p2,local_search,31,1.0,0.2,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.005430735745387771,0,0.006449420556278396,0.9999999999999991,11.617465765433892,0.0012147492757349592,1.0520736788194968e-05,0,results/evidence_convergence_control/runs/search_N31_Da1_BiT0p2
search_N31_Da1_BiT0p5,local_search,31,1.0,0.5,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,4.481537668743485e-06,0,1.7326599258238318e-05,0.0,3.610927126219173,0.001511757340486892,3.27750435396366e-05,0,results/evidence_convergence_control/runs/search_N31_Da1_BiT0p5
search_N31_Da2_BiT0p1,local_search,31,2.0,0.1,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.3006939250223075,0,0.0015722386988681336,0.9999999999999991,24.978564153376762,0.0015831662124494788,3.169542078332797e-05,21719,results/evidence_convergence_control/runs/search_N31_Da2_BiT0p1
search_N31_Da2_BiT0p2,local_search,31,2.0,0.2,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.010878500476894981,0,0.028585236994442598,0.9999999999999991,16.432609661892393,0.0020375564739992893,2.0625173669194826e-05,3224,results/evidence_convergence_control/runs/search_N31_Da2_BiT0p2
search_N31_Da2_BiT0p5,local_search,31,2.0,0.5,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,4.628720120525287e-06,0,2.0970817829812916e-05,0.0,5.600912244012411,0.0024426029765097002,6.222204995673644e-05,0,results/evidence_convergence_control/runs/search_N31_Da2_BiT0p5
search_N31_Da4_BiT0p1,local_search,31,4.0,0.1,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.0031506431135495117,0,0.014388718462458039,0.9999999999999991,11.494026198350966,0.002847299038853244,6.97419688514277e-05,1533,results/evidence_convergence_control/runs/search_N31_Da4_BiT0p1
search_N31_Da4_BiT0p2,local_search,31,4.0,0.2,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,1.1149855681997742,0,0.2395878124732389,0.9999999999999991,19.427762569069902,0.004097035260803294,9.982548112655403e-05,6076,results/evidence_convergence_control/runs/search_N31_Da4_BiT0p2
search_N31_Da4_BiT0p5,local_search,31,4.0,0.5,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,4.286297000000161e-06,0,2.4598731798164408e-05,0.0,8.399801461114485,0.004301223732810447,0.00012281165423148473,0,results/evidence_convergence_control/runs/search_N31_Da4_BiT0p5
search_N31_Da8_BiT0p1,local_search,31,8.0,0.1,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.001452493629542806,0,0.006677900068675191,0.9999999999999991,12.796641322879173,0.004582867212721798,9.740699251683175e-05,1967,results/evidence_convergence_control/runs/search_N31_Da8_BiT0p1
search_N31_Da8_BiT0p2,local_search,31,8.0,0.2,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,2.33862045404948,0,0.29336376493168315,0.9999999999999991,21.814149272648315,0.005328312710767616,8.722525998611889e-05,7372,results/evidence_convergence_control/runs/search_N31_Da8_BiT0p2
search_N31_Da8_BiT0p5,local_search,31,8.0,0.5,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,3.5487905400977127e-06,0,2.7954906154370462e-05,0.0,11.982483067303134,0.008418941431931871,0.00023534332981476063,0,results/evidence_convergence_control/runs/search_N31_Da8_BiT0p5
convergence_N51,convergence,51,1.0,0.2,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.004414970665160389,0,0.0049512869019231465,1.0000000000000002,12.29384099352303,0.0013140128325413347,1.0476165930241055e-05,0,results/evidence_convergence_control/runs/convergence_N51
convergence_N101,convergence,101,1.0,0.2,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.003741754933136665,0,0.004114396977029422,1.0000000000000009,12.757952379386863,0.0013929105166591473,1.0430310868179177e-05,0,results/evidence_convergence_control/runs/convergence_N101
convergence_N201,convergence,201,1.0,0.2,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.0034350293985681013,0,0.003766816540621609,0.9999999999999954,12.973002022613214,0.0014338111795368523,1.0402670362568076e-05,0,results/evidence_convergence_control/runs/convergence_N201
time_half_max_step,time_tolerance,51,1.0,0.2,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.004414970709090138,0,0.004951286982877501,1.0000000000000002,12.293840996719474,0.0013140132975690809,1.0476185578180192e-05,0,results/evidence_convergence_control/runs/time_half_max_step
time_tighter_tolerance,time_tolerance,51,1.0,0.2,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.004414970639052829,0,0.004951286885326089,1.0000000000000002,12.293841027628627,0.0013140114264577614,1.0476109950398993e-05,0,results/evidence_convergence_control/runs/time_tighter_tolerance
control_no_reaction,control,51,0.0,0.2,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,1.0004471712816798e-09,0,1.7126734030981083e-08,0.0,0.0,0.0004544557660004783,0.00021470449922429924,0,results/evidence_convergence_control/runs/control_no_reaction
control_no_lcst,control,51,1.0,0.2,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.000988403521714254,0,1.817913886092981e-08,0.0,14.071481188798542,0.0013083134149464136,1.0055285309553562e-05,0,results/evidence_convergence_control/runs/control_no_lcst
control_no_barrier,control,51,1.0,0.2,reference_volume,effective_osmotic_chi,constant_no_barrier,False,,0.001061441377967931,0,0.016378046866810103,1.0000000000000002,14.07392654624247,0.0013023755582995268,1.0099506922150143e-05,0,results/evidence_convergence_control/runs/control_no_barrier
sensitivity_current_volume_source,sensitivity,51,1.0,0.2,current_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.005488712260936168,0,0.002637217287902338,1.0000000000000002,12.472037254654936,0.001590314980719251,1.3696489013201164e-05,0,results/evidence_convergence_control/runs/sensitivity_current_volume_source
sensitivity_strict_chi,sensitivity,51,1.0,0.2,reference_volume,strict_chi_derivative,normalized_porosity_power,False,,0.0005883663134831352,0,0.0010868728124009408,1.0000000000000002,12.664589584856198,0.0013131213229922584,1.0401698635546613e-05,0,results/evidence_convergence_control/runs/sensitivity_strict_chi
initial_condition_flat,initial_condition,51,1.0,0.2,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.004415198353965533,0,0.004952278428639878,1.0000000000000002,12.293251445591538,0.0013048071991217818,1.0339762814005564e-05,0,results/evidence_convergence_control/runs/initial_condition_flat
initial_condition_stronger,initial_condition,51,1.0,0.2,reference_volume,effective_osmotic_chi,normalized_porosity_power,False,,0.004414125859580675,0,0.004948051069378456,1.0000000000000002,12.295649467665253,0.001342349010455331,1.0908488170367643e-05,0,results/evidence_convergence_control/runs/initial_condition_stronger
