case_id,group,purpose,classification_label,oscillatory,theta_complete_cycles,theta_amplitude,J_complete_cycles,J_amplitude,clipping_total,nonfinite_total,source_shutdown_tail_over_early_peak,source_shutdown_tail_over_global_peak,A_shutdown_tail_over_early_peak,D_shutdown_tail_over_early_peak,M_shutdown_tail_over_early_peak,source_heat_loss_balance_tail,reactant_supply_source_balance_tail,source_tail_mean,heat_loss_tail_mean,reactant_supply_tail_mean,heat_inventory_tail_mean_abs,reactant_inventory_tail_mean,heating_time_tail_estimate,thermal_loss_time_tail_estimate,reactant_replenishment_time_tail_estimate,reactant_consumption_time_tail_estimate,swelling_change_time_estimate,barrier_change_time_estimate,max_geometric_skin_thickness,max_functional_skin_thickness,max_A_functional_skin_thickness,max_D_functional_skin_thickness,max_M_functional_skin_thickness,min_A,min_D_over_D0,min_M_over_M0,geometry_overstates_functional_barrier,reactant_balance_residual,heat_balance_residual,source_run_dir
baseline_default,existing_evidence_suite,Reanalyze #16 evidence case baseline_default.,steady_hot_nonuniform,False,0,0.0002221214320323739,0,0.0008409291670070651,2144,0,0.15840800670731714,0.15840800670731714,0.00010312791697134093,0.014236234906712155,0.11898958120547969,1.0000434754225291,0.9999994100178011,0.10727058106689016,0.10726591763579797,0.10727051777915687,1.1351615635629833,0.010430945695840842,10.58222629422634,10.58268636098578,0.09723963221018049,0.09723957484052846,47.637990170520936,47.6413631644212,1.0,0.1568627450980392,0.1568627450980392,0.13725490196078433,0.13725490196078433,0.00010000011857921843,0.0005912552900622074,0.022263171355498768,True,0.003495153187778041,5.9070360542648236e-05,/home/kiki/code/Wang/hydrogel-transport-oscillation/results/evidence_convergence_control/runs/baseline_default
search_N31_Da1_BiT0p2,existing_evidence_suite,Reanalyze #16 evidence case search_N31_Da1_BiT0p2.,steady_hot_nonuniform,False,0,0.005430735745387771,0,0.006449420556278396,0,0,1.0046157529629973,0.9933744390456418,0.7296464478188042,0.9002643375183398,0.948822406802117,0.9998023035387149,1.0000027767131072,0.5732060175889193,0.5733193607977353,0.5732076092175815,2.9880848578559536,0.013118361019482333,5.212933511104361,5.211902932596302,0.022885880802225686,0.022885944349750883,47.83406271677303,47.846979453871874,1.0,0.0,0.0,0.0,0.0,0.7266924886469819,0.8990482270648753,0.9481813953675965,True,0.0012147492757349592,1.0520736788194968e-05,/home/kiki/code/Wang/hydrogel-transport-oscillation/results/evidence_convergence_control/runs/search_N31_Da1_BiT0p2
search_N31_Da4_BiT0p2,existing_evidence_suite,Reanalyze #16 evidence case search_N31_Da4_BiT0p2.,steady_hot_nonuniform,False,0,1.1149855681997742,0,0.2395878124732389,6076,0,0.9453470610753296,0.9446883225843096,0.6709788412701562,0.845079384807361,0.8971458114838343,1.0055484082279873,1.000057221834781,0.6231776291581671,0.6197390638371678,0.623213288525502,3.1317327878508685,0.0030284534906058025,5.025425562983442,5.053308675526237,0.004859417387859306,0.004859695452638205,17.483535662797973,48.199696643252274,1.0,0.12903225806451613,0.12903225806451613,0.0967741935483871,0.0967741935483871,0.00010000011857921843,0.0005912552900622074,0.022263171355498768,True,0.004097035260803294,9.982548112655403e-05,/home/kiki/code/Wang/hydrogel-transport-oscillation/results/evidence_convergence_control/runs/search_N31_Da4_BiT0p2
search_N31_Da8_BiT0p2,existing_evidence_suite,Reanalyze #16 evidence case search_N31_Da8_BiT0p2.,oscillatory_nonuniform,False,0,2.33862045404948,1,0.29336376493168315,7372,0,0.8095296958157908,0.8094247286815874,0.592365525314024,0.7302008090056883,0.7830030043322221,1.0019437040186678,0.9996026341844323,0.5488649914090811,0.5478002299007957,0.5486468912241332,2.7679226904265004,0.0034332789261346847,5.042993693805308,5.052795780914074,0.006257720550415224,0.006255233946185114,15.697279579353243,23.862323565796835,1.0,0.12903225806451613,0.12903225806451613,0.0967741935483871,0.0967741935483871,0.00010000011857921843,0.0005912552900622074,0.022263171355498768,True,0.005328312710767616,8.722525998611889e-05,/home/kiki/code/Wang/hydrogel-transport-oscillation/results/evidence_convergence_control/runs/search_N31_Da8_BiT0p2
control_no_reaction,existing_evidence_suite,Reanalyze #16 evidence case control_no_reaction.,steady_cold_uniform,False,0,1.0004471712816798e-09,0,1.7126734030981083e-08,0,0,,,1.0,1.0,1.0,0.0,,0.0,2.106765135153873e-11,8.13076488097015e-09,1.4130312917111002e-10,1.2999999620606428,,6.707113517937992,159886552.01471388,,47.54413816308455,,0.0,0.0,0.0,0.0,0.0,0.9969838832501374,0.998993615178172,0.9994966809113657,False,0.0004544557660004783,0.00021470449922429924,/home/kiki/code/Wang/hydrogel-transport-oscillation/results/evidence_convergence_control/runs/control_no_reaction
control_no_lcst,existing_evidence_suite,Reanalyze #16 evidence case control_no_lcst.,steady_hot_nonuniform,False,0,0.000988403521714254,0,1.817913886092981e-08,0,0,1.027160191476822,0.9999826604356603,1.0,1.0,1.0,1.0000351610590805,0.9999995739935956,0.5900398555947206,0.5900191098979388,0.5900396042339633,3.068140151171734,0.012333328799402628,5.199886282392321,5.200069115901109,0.020902544017218548,0.02090253511260093,47.54674711329445,,0.0,0.0,0.0,0.0,0.0,0.9969838832501374,0.998993615178172,0.9994966809113657,False,0.0013083134149464136,1.0055285309553562e-05,/home/kiki/code/Wang/hydrogel-transport-oscillation/results/evidence_convergence_control/runs/control_no_lcst
control_no_barrier,existing_evidence_suite,Reanalyze #16 evidence case control_no_barrier.,steady_hot_nonuniform,False,0,0.001061441377967931,0,0.016378046866810103,0,0,1.0275775081214262,0.9999790669205306,1.0,1.0,1.0,1.0000377473723343,0.9999957725881452,0.5900370454169256,0.5900147739095721,0.590034551087325,3.0681120758303395,0.008792265067137902,5.199863465627626,5.20005974680995,0.014901271545768592,0.01490120855195661,47.92025533468776,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,0.0013023755582995268,1.0099506922150143e-05,/home/kiki/code/Wang/hydrogel-transport-oscillation/results/evidence_convergence_control/runs/control_no_barrier
sensitivity_current_volume_source,existing_evidence_suite,Reanalyze #16 evidence case sensitivity_current_volume_source.,steady_hot_nonuniform,False,0,0.005488712260936168,0,0.002637217287902338,0,0,0.9871926721495128,0.9848339849978162,0.7470822047074838,0.9073794841718272,0.9525645587232092,0.9997937689986881,1.0000039078336098,0.5561945746531466,0.5563093028777182,0.556196748168999,2.9210224595204517,0.014306588271730106,5.251799626672116,5.250716542776418,0.025722171729387896,0.0257222722473551,47.72362527404031,47.74246400853754,1.0,0.0,0.0,0.0,0.0,0.7449906204031447,0.9065319687394893,0.9521196035495358,True,0.001590314980719251,1.3696489013201164e-05,/home/kiki/code/Wang/hydrogel-transport-oscillation/results/evidence_convergence_control/runs/sensitivity_current_volume_source
sensitivity_strict_chi,existing_evidence_suite,Reanalyze #16 evidence case sensitivity_strict_chi.,steady_hot_nonuniform,False,0,0.0005883663134831352,0,0.0010868728124009408,0,0,1.0161562544871101,0.9993744485475684,0.8046097558883146,0.9300968458065472,0.9644152191525361,0.9999783861342166,1.0000002836991262,0.5668476215822725,0.5668598736154988,0.5668477823964475,2.966654373728891,0.01325361233097582,5.2336011668319395,5.233488048478756,0.02338125461996847,0.023381261253209974,47.68668916820133,47.69943181335938,1.0,0.0,0.0,0.0,0.0,0.8029531556191963,0.9294580929110708,0.9640840025134129,True,0.0013131213229922584,1.0401698635546613e-05,/home/kiki/code/Wang/hydrogel-transport-oscillation/results/evidence_convergence_control/runs/sensitivity_strict_chi
diagnostic_accessibility_constant,mechanism_isolation,Set A(phi)=1 while retaining D/M suppression.,steady_hot_nonuniform,False,0,0.0014464265366886941,0,0.017990948718591193,0,0,1.0230701845411534,0.9996306474438748,1.0,0.8860154052294966,0.9412831974242879,0.9999499075999054,0.9999963444033046,0.5999346075682984,0.5999646612381517,0.5999324144493295,3.095279827950085,0.008459215281917974,5.159362018630853,5.159103573804384,0.01410028042855891,0.014100228883620372,47.925052563326155,,1.0,0.0,0.0,0.0,0.0,1.0,0.8831456056887382,0.9397580767109754,True,0.0012058082547238378,1.0262234658480375e-05,
